r is the current router
c is the destination of the packet.
f(r, c) gives the next router for the shortest path route
     
     // 0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
     { -1, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13 }, // 0
     {  2, -1,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2, 27,  2,  2,  2,  2 }, // 1
     { 18,  1, -1, 18, 18, 18, 18, 18, 18,  9, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18,  1, 18, 18, 18, 18 }, // 2
     { 10, 10, 10, -1, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10 }, // 3
     { 24, 24, 24, 24, -1, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24 }, // 4
     { 12, 10, 10, 10, 12, -1, 12, 10, 10, 10, 10, 10, 12, 12, 12, 12, 10, 10, 10, 12, 12, 10, 10, 12, 12, 12, 12, 10, 12, 10, 10, 10 }, // 5
     { 15, 15, 15, 15, 15, 15, -1, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 19, 20, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15 }, // 6
     { 22, 22, 22, 22, 22, 22, 22, -1, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22 }, // 7
     { 21, 21, 21, 21, 21, 21, 21, 21, -1, 21, 21, 21, 21, 21, 21, 21, 21, 17, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 17, 21 }, // 8
     {  2,  2,  2,  2,  2,  2,  2,  2,  2, -1,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2 }, // 9
     { 18, 18, 18,  3, 18,  5, 18, 21, 21, 18, -1, 18,  5, 18, 18, 18, 21, 21, 18, 18, 18, 21, 21, 18, 18, 18, 18, 18, 18, 21, 21, 31 }, //10
     { 23, 18, 18, 18, 23, 18, 23, 18, 18, 18, 18, -1, 23, 23, 23, 23, 18, 18, 18, 23, 23, 18, 18, 23, 23, 23, 23, 18, 23, 18, 18, 18 }, //11
     { 23,  5,  5,  5, 23,  5, 23,  5,  5,  5,  5, 23, -1, 23, 23, 23,  5,  5,  5, 23, 23,  5,  5, 23, 23, 23, 23,  5, 23,  5,  5,  5 }, //12
     {  0, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, -1, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23 }, //13
     { 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, -1, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23 }, //14
     { 25, 25, 25, 25, 25, 25,  6, 25, 25, 25, 25, 25, 25, 25, 25, -1, 25, 25, 25,  6,  6, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25 }, //15
     { 21, 21, 21, 21, 21, 21, 21, 22, 21, 21, 21, 21, 21, 21, 21, 21, -1, 21, 21, 21, 21, 21, 22, 21, 21, 21, 21, 21, 21, 29, 21, 21 }, //16
     {  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8, -1,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8, 30,  8 }, //17
     { 11,  2,  2, 10, 11, 10, 11, 10, 10,  2, 10, 11, 10, 11, 11, 11, 10, 10, -1, 11, 11, 10, 10, 11, 11, 11, 11,  2, 11, 10, 10, 10 }, //18
     {  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6, -1,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6 }, //19
     {  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6, -1,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6 }, //20
     { 10, 10, 10, 10, 10, 10, 10, 16,  8, 10, 10, 10, 10, 10, 10, 10, 16,  8, 10, 10, 10, -1, 16, 10, 10, 10, 10, 10, 10, 16,  8, 10 }, //21
     { 16, 16, 16, 16, 16, 16, 16,  7, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, -1, 16, 16, 16, 16, 16, 16, 16, 16, 16 }, //22
     { 13, 11, 11, 12, 28, 12, 28, 12, 12, 11, 12, 11, 12, 13, 14, 28, 12, 12, 11, 28, 28, 12, 12, -1, 28, 28, 28, 11, 28, 12, 12, 12 }, //23
     { 26, 26, 26, 26,  4, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, 26, -1, 26, 26, 26, 26, 26, 26, 26 }, //24
     { 26, 26, 26, 26, 26, 26, 15, 26, 26, 26, 26, 26, 26, 26, 26, 15, 26, 26, 26, 15, 15, 26, 26, 26, 26, -1, 26, 26, 26, 26, 26, 26 }, //25
     { 28, 28, 28, 28, 24, 28, 25, 28, 28, 28, 28, 28, 28, 28, 28, 25, 28, 28, 28, 25, 25, 28, 28, 28, 24, 25, -1, 28, 28, 28, 28, 28 }, //26
     {  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1, -1,  1,  1,  1,  1 }, //27
     { 23, 23, 23, 23, 26, 23, 26, 23, 23, 23, 23, 23, 23, 23, 23, 26, 23, 23, 23, 26, 26, 23, 23, 23, 26, 26, 26, 23, -1, 23, 23, 23 }, //28
     { 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, -1, 16, 16 }, //29
     { 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, -1, 17 }, //30
     { 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, -1 }, //31
